tag,gen,idx,maxIter,fpsErr,gpuTimeMs,boundary,density,rank
FRONT,1,26,1536,693.557,1.32704,6586,0.202039,0
FRONT,1,27,4019,250.482,3.2208,5195,0.205322,0
FRONT,1,28,93,11688.1,0.08512,10088,0.152411,0
FRONT,1,29,3416,285.705,2.89264,5393,0.204827,0
FRONT,1,30,3805,256.392,3.16064,5286,0.20523,0
FRONT,1,31,590,1934.26,0.50144,8291,0.194686,0
EVAL,2,0,115,9226.78,0.10768,10185,0.16023,-1
EVAL,2,1,1716,635.759,1.43728,6403,0.202471,-1
EVAL,2,2,64,15526,0.06416,9793,0.135558,-1
EVAL,2,3,3690,253.016,3.19472,5390,0.205171,-1
EVAL,2,4,353,3224.29,0.30448,9403,0.187875,-1
EVAL,2,5,3893,248.855,3.23776,5268,0.205264,-1
EVAL,2,6,565,588.879,1.54112,8377,0.194138,-1
EVAL,2,7,210,4151.59,0.23744,10367,0.177781,-1
EVAL,2,8,238,3334.89,0.29456,10393,0.180571,-1
EVAL,2,9,2328,358.564,2.38912,5942,0.203537,-1
EVAL,2,10,393,2647.97,0.36928,9101,0.189449,-1
EVAL,2,11,311,3705.06,0.2656,9738,0.185642,-1
EVAL,2,12,248,4145.92,0.23776,10403,0.181559,-1
EVAL,2,13,2470,475.194,1.86848,5712,0.203725,-1
EVAL,2,14,621,1814.06,0.5336,8261,0.195269,-1
EVAL,2,15,3799,252.547,3.19952,5286,0.205227,-1
EVAL,2,16,957,1003.65,0.94016,7447,0.199013,-1
EVAL,2,17,2448,410.597,2.12496,5712,0.203708,-1
EVAL,2,18,590,1890.08,0.5128,8291,0.194686,-1
EVAL,2,19,362,3130.4,0.31344,9238,0.188176,-1
EVAL,2,20,3416,291.875,2.84192,5393,0.204827,-1
EVAL,2,21,2834,336.8,2.52016,5702,0.204206,-1
EVAL,2,22,190,4956.05,0.19936,10343,0.175308,-1
EVAL,2,23,1560,705.65,1.30608,6590,0.202073,-1
EVAL,2,24,306,3702.79,0.26576,9817,0.185475,-1
EVAL,2,25,3664,256.857,3.156,5407,0.205159,-1
EVAL,2,26,167,6491.36,0.15264,10308,0.171815,-1
EVAL,2,27,864,1291.64,0.73984,7625,0.198296,-1
EVAL,2,28,723,1370.86,0.69888,7957,0.196758,-1
EVAL,2,29,4019,227.145,3.48256,5195,0.205322,-1
EVAL,2,30,3985,236.49,3.3728,5196,0.20531,-1
EVAL,2,31,550,2043.67,0.47536,8476,0.1939,-1
FRONT,2,0,115,9226.78,0.10768,10185,0.16023,0
